,features,means,vars,stds
0,GIF,9.342150850050242,1.0621370908565297,1.0306003545781117
1,VSIG2,7.543167183889201,0.1570443978174616,0.3962882761544449
2,PRSS8,9.952551372835787,0.023034895139226456,0.1517725111448923
3,BNP,4.144948409527576,4.0168249845190775,2.0042018322811397
4,CHIT1,5.222423707139803,6.178162027851877,2.485590881028468
